SMILES,Activity binary
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0
C=CCCC(=O)C1=CCC2(CCCC2)CC1,1
CCC=CCCCCC=O,1
OC(Cn1ccnc1)c1ccc(Cl)cc1Cl,0
Cc1ccc(C)c(O)c1C,1
C=CC(C)CCC=C(C)C,1
C=C(C)C(=O)OCc1ccccc1,1
CCCCCCCCCCCCCCCCC(C(=O)CCCCCCCCCCCCCCC)C(=O)NCCO,0
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0
CCC=CC#N,1
CCCCCCCCCCCCCCCCOC(=O)OOC(=O)OCCCCCCCCCCCCCCCC,0
C=CC(=O)NC(C)(C)CC(C)=O,0
C=C1CC(C)(C)OC1=O,1
O=CC(=O)O,1
N#CCCOc1ccccc1,0
Cc1nc(COc2ccc(CC(NC(=O)OC(C)(C)C)C3CO3)cc2)cs1,0
Cc1nc(COc2ccc(CC(NC(=O)OC3COC4OCCC34)C(O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,0
CCCCCCCCC(CCCCCC)COc1ccc(S(=O)(=O)C(CC)C(=O)Nc2cc(O)c(NC(=O)c3ccc(Cl)c(Cl)c3)cc2Cl)cc1,0
COc1ccc(OC)c(NC(C)=O)c1,0
Fc1ccc(Br)c(F)c1,0
CCOC(=O)C1=C(C)C=CCC1(C)C,1
CCO[Si](OCC)(OCC)N(CC)CC,0
CCCCCCCCCCCCCCCCCBr,1
N#CCCC(Br)(C#N)CBr,1
CCCC1CC(=O)N(C(CC)C(N)=O)C1,0
CCCCNS(=O)(=O)c1ccccc1,0
O=C1NC(=O)C(=c2[nH]c(=C3C(=O)NC(=O)NC3=O)c3ccccc23)C(=O)N1,0
CCCCCCCCCCCCCCCCCCOP1OCC2(CO1)COP(OCCCCCCCCCCCCCCCCCC)OC2,0
CCC(CC)CC1(C(=O)O)CCCCC1,1
COC1OC(COS(=O)(=O)c2ccc(C)cc2)C2OC(C)(C)OC12,0
CCCCCCCCCCCCCCCCOS(C)(=O)=O,0
CCCCCCCCCI,1
Cc1c2ccc(N=c3cc[nH]c(Cl)n3)cc2nn1C,0
NS(=O)(=O)c1cccc(CCCCOCCCCCCBr)c1,0
CCn1c(O)c(C(N)=O)c(C)c(N=Nc2ccc(N=Nc3cc(OCCO)c(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)cc(O)c5c4O)cc3OCCO)c(S(=O)(=O)O)c2)c1=O,0
CCOc1ccc(Cc2cc(C3OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C3OC(C)=O)ccc2Cl)cc1,0
CC(CO)(CO)C(=O)O,0
O=C1CCCCCO1,0
CC(C)NO,0
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,0
C=C(C)C(=O)NCCC[N+](C)(C)C,0
Cc1cc(NCCCn2ccnc2)ccc1N,0
CNS(=O)(=O)c1cc(OC)c(N=Nc2c(O)c(C(=O)Nc3ccc4[nH]c(=O)[nH]c4c3)cc3ccccc23)cc1C,0
